2020-10-22 13:06:42.586 下午 UTC-8,gyro,5.106659,-6.340332,6.116028,,
2020-10-22 13:06:42.586 下午 UTC-8,acc,0.06616211,-0.0479126,0.9835205,,
2020-10-22 13:06:42.586 下午 UTC-8,acc,0.07843018,-0.04766846,0.9902954,,
2020-10-22 13:06:42.586 下午 UTC-8,acc,0.07952881,-0.04455566,0.9907227,,
2020-10-22 13:06:42.607 下午 UTC-8,eeg,892.8938,796.5934,791.3553,888.0586,732.5275
2020-10-22 13:06:42.607 下午 UTC-8,eeg,884.4323,801.8315,789.3406,878.3883,723.2601
2020-10-22 13:06:42.607 下午 UTC-8,eeg,894.1025,799.8168,789.7436,879.597,693.0403
2020-10-22 13:06:42.607 下午 UTC-8,eeg,903.7729,794.9817,787.326,884.4323,829.2308
2020-10-22 13:06:42.607 下午 UTC-8,eeg,902.5641,794.9817,786.1172,889.2674,876.7766
2020-10-22 13:06:42.607 下午 UTC-8,eeg,891.685,794.9817,791.3553,896.1172,792.5641
2020-10-22 13:06:42.607 下午 UTC-8,eeg,884.0293,794.1758,794.9817,894.9084,854.2125
2020-10-22 13:06:42.607 下午 UTC-8,eeg,878.7912,796.5934,792.1612,882.4176,844.9451
2020-10-22 13:06:42.607 下午 UTC-8,eeg,881.2088,796.9963,786.1172,882.0146,738.1685
2020-10-22 13:06:42.607 下午 UTC-8,eeg,891.282,799.011,782.0879,894.9084,723.2601
2020-10-22 13:06:42.607 下午 UTC-8,eeg,900.1465,801.8315,784.5055,896.9231,840.5128
2020-10-22 13:06:42.607 下午 UTC-8,eeg,902.5641,803.4432,784.9084,890.8792,1031.099
2020-10-22 13:06:42.628 下午 UTC-8,gyro,6.76651,-5.368347,8.336639,,
2020-10-22 13:06:42.628 下午 UTC-8,gyro,7.618866,-4.276733,9.891815,,
2020-10-22 13:06:42.628 下午 UTC-8,gyro,7.753448,-2.915955,9.80957,,
2020-10-22 13:06:42.670 下午 UTC-8,acc,0.07751465,-0.0425415,0.9985352,,
2020-10-22 13:06:42.671 下午 UTC-8,acc,0.0737915,-0.03485107,1.003967,,
2020-10-22 13:06:42.671 下午 UTC-8,acc,0.06719971,-0.02941895,1.001953,,
2020-10-22 13:06:42.671 下午 UTC-8,eeg,898.5348,803.4432,786.5201,886.0439,1016.593
2020-10-22 13:06:42.671 下午 UTC-8,eeg,902.5641,797.8022,788.1319,891.282,785.3113
2020-10-22 13:06:42.671 下午 UTC-8,eeg,913.8461,801.4286,788.9377,903.7729,805.0549
2020-10-22 13:06:42.671 下午 UTC-8,eeg,904.1758,806.6667,789.3406,899.7436,840.9158
2020-10-22 13:06:42.671 下午 UTC-8,eeg,886.8498,803.8461,790.1465,887.6557,827.619
2020-10-22 13:06:42.671 下午 UTC-8,eeg,882.4176,802.6374,788.1319,886.8498,809.8901
2020-10-22 13:06:42.671 下午 UTC-8,eeg,875.9707,803.0403,787.7289,888.8644,848.5714
2020-10-22 13:06:42.671 下午 UTC-8,eeg,885.6411,803.0403,789.3406,895.7143,996.4469
2020-10-22 13:06:42.671 下午 UTC-8,eeg,906.5934,807.0696,790.1465,906.9963,925.1282
2020-10-22 13:06:42.673 下午 UTC-8,touching_forehead,1,,,,
2020-10-22 13:06:42.673 下午 UTC-8,alpha_absolute,0.5702053,,,,
2020-10-22 13:06:42.673 下午 UTC-8,beta_absolute,0.5613824,,,,
2020-10-22 13:06:42.673 下午 UTC-8,delta_absolute,1.174478,,,,
2020-10-22 13:06:42.673 下午 UTC-8,theta_absolute,0.6494717,,,,
2020-10-22 13:06:42.673 下午 UTC-8,gamma_absolute,0.3468908,,,,
2020-10-22 13:06:42.673 下午 UTC-8,horseshoe,2,1,1,2,
2020-10-22 13:06:42.671 下午 UTC-8,eeg,895.3113,805.4579,787.326,893.6996,815.5311
2020-10-22 13:06:42.674 下午 UTC-8,eeg,882.0146,800.6227,785.7143,879.597,768.3883
2020-10-22 13:06:42.674 下午 UTC-8,eeg,884.0293,801.0256,784.5055,881.2088,674.5055
2020-10-22 13:06:42.694 下午 UTC-8,gyro,8.374023,-1.158905,9.99649,,
2020-10-22 13:06:42.695 下午 UTC-8,gyro,9.009552,0.5084229,10.43762,,
2020-10-22 13:06:42.695 下午 UTC-8,gyro,10.14603,1.644897,10.32547,,
2020-10-22 13:06:42.695 下午 UTC-8,acc,0.06878662,-0.01373291,0.9915771,,
2020-10-22 13:06:42.695 下午 UTC-8,acc,0.06542969,-0.001159668,0.9816895,,
2020-10-22 13:06:42.695 下午 UTC-8,acc,0.05108643,0.01153564,0.9753418,,
2020-10-22 13:06:42.716 下午 UTC-8,eeg,885.2381,804.652,781.685,892.4908,732.9304
2020-10-22 13:06:42.716 下午 UTC-8,eeg,877.1795,805.4579,780.4762,894.1025,815.1282
2020-10-22 13:06:42.716 下午 UTC-8,eeg,869.9268,802.6374,781.685,888.8644,840.5128
2020-10-22 13:06:42.717 下午 UTC-8,eeg,868.315,801.8315,783.2967,876.3736,825.6044
2020-10-22 13:06:42.717 下午 UTC-8,eeg,875.1649,799.8168,781.282,869.1208,835.6777
2020-10-22 13:06:42.717 下午 UTC-8,eeg,883.6264,797.8022,781.282,880.403,889.2674
2020-10-22 13:06:42.717 下午 UTC-8,eeg,881.6117,798.2051,786.5201,888.4615,882.8205
2020-10-22 13:06:42.717 下午 UTC-8,eeg,876.3736,798.608,790.5494,880.8058,869.1208
2020-10-22 13:06:42.717 下午 UTC-8,eeg,879.597,803.4432,794.9817,876.3736,794.1758
2020-10-22 13:06:42.717 下午 UTC-8,eeg,884.0293,804.652,794.9817,884.0293,740.989
2020-10-22 13:06:42.717 下午 UTC-8,eeg,886.4469,801.8315,789.7436,892.0879,925.5311
2020-10-22 13:06:42.717 下午 UTC-8,eeg,888.0586,804.652,786.5201,889.6703,1024.249
2020-10-22 13:06:42.780 下午 UTC-8,eeg,884.8351,813.5165,786.5201,883.6264,850.1832
2020-10-22 13:06:42.780 下午 UTC-8,eeg,885.6411,814.7253,788.1319,882.0146,779.6703
2020-10-22 13:06:42.781 下午 UTC-8,eeg,877.5824,807.4725,789.7436,882.0146,771.6117
2020-10-22 13:06:42.781 下午 UTC-8,eeg,879.1942,804.2491,784.9084,882.8205,803.4432
2020-10-22 13:06:42.781 下午 UTC-8,eeg,890.0732,803.4432,786.1172,891.282,786.5201
2020-10-22 13:06:42.781 下午 UTC-8,eeg,892.4908,804.652,787.7289,888.0586,797.8022
2020-10-22 13:06:42.781 下午 UTC-8,eeg,873.1502,811.9048,786.9231,874.3589,958.1685
2020-10-22 13:06:42.781 下午 UTC-8,eeg,872.7473,815.1282,788.9377,873.5531,818.7546
2020-10-22 13:06:42.781 下午 UTC-8,eeg,893.2967,811.5018,786.9231,884.8351,692.6374
2020-10-22 13:06:42.781 下午 UTC-8,eeg,890.8792,810.696,784.5055,896.5201,754.6887
2020-10-22 13:06:42.782 下午 UTC-8,eeg,883.6264,812.3077,786.5201,892.8938,815.5311
2020-10-22 13:06:42.785 下午 UTC-8,touching_forehead,1,,,,
2020-10-22 13:06:42.785 下午 UTC-8,alpha_absolute,0.5519015,,,,
2020-10-22 13:06:42.786 下午 UTC-8,beta_absolute,0.5493281,,,,
2020-10-22 13:06:42.786 下午 UTC-8,delta_absolute,1.15555,,,,
2020-10-22 13:06:42.786 下午 UTC-8,theta_absolute,0.6296191,,,,
2020-10-22 13:06:42.786 下午 UTC-8,gamma_absolute,0.3372672,,,,
2020-10-22 13:06:42.786 下午 UTC-8,horseshoe,2,1,1,2,
2020-10-22 13:06:42.782 下午 UTC-8,eeg,878.3883,811.9048,783.6996,880,855.0183
2020-10-22 13:06:42.786 下午 UTC-8,gyro,11.03577,2.370148,10.37033,,
2020-10-22 13:06:42.787 下午 UTC-8,gyro,11.20773,2.190704,8.942261,,
2020-10-22 13:06:42.787 下午 UTC-8,gyro,10.66193,1.398163,7.499237,,
2020-10-22 13:06:42.808 下午 UTC-8,acc,0.03057861,0.02154541,0.9837646,,
2020-10-22 13:06:42.808 下午 UTC-8,acc,0.01293945,0.02819824,0.9902954,,
2020-10-22 13:06:42.808 下午 UTC-8,acc,-0.005554199,0.03631592,0.9936523,,
2020-10-22 13:06:42.808 下午 UTC-8,eeg,872.3443,813.9194,781.282,872.7473,721.6484
2020-10-22 13:06:42.808 下午 UTC-8,eeg,875.1649,808.2784,780.4762,879.597,805.8608
2020-10-22 13:06:42.808 下午 UTC-8,eeg,890.8792,808.6813,779.6703,890.0732,957.7656
2020-10-22 13:06:42.808 下午 UTC-8,eeg,892.8938,813.1135,783.6996,886.0439,833.2601
2020-10-22 13:06:42.809 下午 UTC-8,eeg,887.2527,815.1282,786.5201,879.597,758.315
2020-10-22 13:06:42.809 下午 UTC-8,eeg,890.0732,819.1575,788.1319,877.9854,785.7143
2020-10-22 13:06:42.809 下午 UTC-8,eeg,888.0586,818.3516,787.326,879.1942,834.4689
2020-10-22 13:06:42.809 下午 UTC-8,eeg,892.4908,815.5311,782.8938,891.282,883.6264
2020-10-22 13:06:42.809 下午 UTC-8,eeg,891.685,812.3077,780.4762,898.9377,917.8755
2020-10-22 13:06:42.809 下午 UTC-8,eeg,888.0586,813.5165,777.6557,888.0586,982.7473
2020-10-22 13:06:42.809 下午 UTC-8,eeg,892.4908,817.5458,774.0293,884.4323,887.2527
2020-10-22 13:06:42.809 下午 UTC-8,eeg,899.3406,814.7253,775.2381,896.9231,800.2198
2020-10-22 13:06:42.850 下午 UTC-8,gyro,9.099274,0.05233765,4.957123,,
2020-10-22 13:06:42.851 下午 UTC-8,gyro,7.49176,-1.742096,2.392578,,
2020-10-22 13:06:42.851 下午 UTC-8,gyro,6.736603,-3.783264,0.4785156,,
2020-10-22 13:06:42.851 下午 UTC-8,acc,-0.01000977,0.03717041,0.9950562,,
2020-10-22 13:06:42.851 下午 UTC-8,acc,-0.004272461,0.0369873,0.9851074,,
2020-10-22 13:06:42.851 下午 UTC-8,acc,0.008850098,0.03448486,0.9876709,,
2020-10-22 13:06:42.851 下午 UTC-8,eeg,898.1319,805.8608,779.2674,896.1172,857.8388
2020-10-22 13:06:42.851 下午 UTC-8,eeg,881.2088,799.8168,785.3113,890.0732,858.6447
2020-10-22 13:06:42.851 下午 UTC-8,eeg,873.1502,798.608,788.9377,884.4323,852.6007
2020-10-22 13:06:42.852 下午 UTC-8,eeg,881.6117,801.0256,792.967,882.8205,814.3223
2020-10-22 13:06:42.852 下午 UTC-8,eeg,887.6557,801.8315,793.7729,890.8792,881.6117
2020-10-22 13:06:42.852 下午 UTC-8,eeg,892.0879,802.6374,793.7729,896.5201,1029.084
2020-10-22 13:06:42.852 下午 UTC-8,eeg,900.1465,805.4579,792.5641,897.7289,966.2271
2020-10-22 13:06:42.852 下午 UTC-8,eeg,895.3113,805.8608,787.7289,892.4908,870.3297
2020-10-22 13:06:42.852 下午 UTC-8,eeg,885.6411,807.0696,787.326,884.4323,792.5641
2020-10-22 13:06:42.852 下午 UTC-8,eeg,891.282,809.0842,794.9817,889.2674,761.5385
2020-10-22 13:06:42.852 下午 UTC-8,eeg,898.9377,809.8901,802.6374,900.9524,852.6007
2020-10-22 13:06:42.852 下午 UTC-8,eeg,901.7582,810.293,801.4286,906.5934,840.5128
2020-10-22 13:06:42.873 下午 UTC-8,gyro,6.116028,-6.467438,-0.7626343,,
2020-10-22 13:06:42.874 下午 UTC-8,gyro,5.099182,-8.703003,-0.9794617,,
2020-10-22 13:06:42.874 下午 UTC-8,gyro,4.673004,-10.49744,-0.9869385,,
2020-10-22 13:06:42.874 下午 UTC-8,acc,0.02545166,0.02972412,0.9893188,,
2020-10-22 13:06:42.874 下午 UTC-8,acc,0.04040527,0.03234863,0.9868774,,
2020-10-22 13:06:42.874 下午 UTC-8,acc,0.06439209,0.02459717,0.9888916,,
2020-10-22 13:06:42.915 下午 UTC-8,eeg,900.5494,806.2637,795.7875,906.5934,906.9963
2020-10-22 13:06:42.918 下午 UTC-8,touching_forehead,1,,,,
2020-10-22 13:06:42.918 下午 UTC-8,alpha_absolute,0.5387256,,,,
2020-10-22 13:06:42.918 下午 UTC-8,beta_absolute,0.534793,,,,
2020-10-22 13:06:42.919 下午 UTC-8,delta_absolute,1.141693,,,,
2020-10-22 13:06:42.919 下午 UTC-8,theta_absolute,0.6137831,,,,
2020-10-22 13:06:42.919 下午 UTC-8,gamma_absolute,0.3177917,,,,
2020-10-22 13:06:42.919 下午 UTC-8,horseshoe,2,1,1,2,
2020-10-22 13:06:42.916 下午 UTC-8,eeg,890.0732,801.4286,792.1612,894.9084,1102.418
2020-10-22 13:06:42.919 下午 UTC-8,eeg,883.6264,799.4139,792.1612,885.6411,926.337
2020-10-22 13:06:42.919 下午 UTC-8,eeg,895.3113,796.5934,792.967,899.7436,778.8644
2020-10-22 13:06:42.919 下午 UTC-8,eeg,900.1465,796.5934,789.7436,902.5641,844.1392
2020-10-22 13:06:42.919 下午 UTC-8,eeg,894.1025,796.5934,786.9231,891.282,926.337
2020-10-22 13:06:42.919 下午 UTC-8,eeg,886.4469,795.7875,787.7289,888.8644,915.0549
2020-10-22 13:06:42.919 下午 UTC-8,eeg,885.2381,795.3846,788.1319,889.2674,830.0366
2020-10-22 13:06:42.920 下午 UTC-8,eeg,894.5055,792.1612,783.2967,895.7143,958.1685
2020-10-22 13:06:42.920 下午 UTC-8,eeg,908.608,787.7289,775.6411,895.7143,1084.689
2020-10-22 13:06:42.920 下午 UTC-8,eeg,902.967,777.2527,763.9561,893.2967,908.608
2020-10-22 13:06:42.920 下午 UTC-8,eeg,885.2381,778.0586,770.8058,890.8792,801.4286
2020-10-22 13:06:42.941 下午 UTC-8,gyro,4.329071,-11.76849,-0.4037476,,
2020-10-22 13:06:42.941 下午 UTC-8,gyro,3.701019,-12.41898,0.3289795,,
2020-10-22 13:06:42.941 下午 UTC-8,gyro,3.39447,-11.52924,1.644897,,
2020-10-22 13:06:42.941 下午 UTC-8,acc,0.08398438,0.0144043,1.001404,,
2020-10-22 13:06:42.942 下午 UTC-8,acc,0.1020508,0.01135254,1.004883,,
2020-10-22 13:06:42.942 下午 UTC-8,acc,0.1217041,0.01062012,1.005554,,
2020-10-22 13:06:42.942 下午 UTC-8,eeg,887.2527,793.7729,787.7289,884.0293,780.0732
2020-10-22 13:06:42.942 下午 UTC-8,eeg,887.2527,799.4139,791.3553,892.0879,774.0293
2020-10-22 13:06:42.942 下午 UTC-8,eeg,894.9084,797.8022,791.3553,895.3113,795.3846
2020-10-22 13:06:42.942 下午 UTC-8,eeg,898.9377,799.011,790.9524,892.4908,802.2344
2020-10-22 13:06:42.942 下午 UTC-8,eeg,883.6264,798.608,790.1465,888.0586,852.1978
2020-10-22 13:06:42.942 下午 UTC-8,eeg,884.0293,794.9817,790.9524,882.4176,914.2491
2020-10-22 13:06:42.942 下午 UTC-8,eeg,889.2674,790.5494,787.326,887.2527,948.4982
2020-10-22 13:06:42.942 下午 UTC-8,eeg,892.8938,786.5201,784.1025,892.4908,906.1905
2020-10-22 13:06:42.942 下午 UTC-8,eeg,895.3113,788.9377,782.8938,882.8205,845.348
2020-10-22 13:06:42.942 下午 UTC-8,eeg,889.6703,794.5787,786.1172,884.4323,828.4249
2020-10-22 13:06:42.942 下午 UTC-8,eeg,880.403,797.3993,790.1465,881.6117,744.2125
2020-10-22 13:06:42.943 下午 UTC-8,eeg,876.3736,792.967,786.1172,878.7912,844.1392
2020-10-22 13:06:42.985 下午 UTC-8,eeg,877.1795,791.7582,784.1025,892.0879,1066.557
2020-10-22 13:06:42.985 下午 UTC-8,eeg,876.7766,790.9524,784.5055,892.8938,921.9048
2020-10-22 13:06:42.985 下午 UTC-8,eeg,880,789.3406,783.6996,881.6117,811.5018
2020-10-22 13:06:42.989 下午 UTC-8,touching_forehead,1,,,,
2020-10-22 13:06:42.989 下午 UTC-8,alpha_absolute,0.5330967,,,,
2020-10-22 13:06:42.989 下午 UTC-8,beta_absolute,0.5191714,,,,
2020-10-22 13:06:42.989 下午 UTC-8,delta_absolute,1.135685,,,,
2020-10-22 13:06:42.989 下午 UTC-8,theta_absolute,0.6056749,,,,
2020-10-22 13:06:42.989 下午 UTC-8,gamma_absolute,0.2899982,,,,
2020-10-22 13:06:42.989 下午 UTC-8,horseshoe,2,1,1,2,
2020-10-22 13:06:42.986 下午 UTC-8,eeg,872.7473,794.1758,780.0732,874.7619,762.7473
2020-10-22 13:06:42.989 下午 UTC-8,eeg,870.3297,800.6227,781.282,873.5531,735.348
2020-10-22 13:06:42.989 下午 UTC-8,eeg,886.0439,801.0256,784.5055,882.8205,850.1832
2020-10-22 13:06:42.989 下午 UTC-8,eeg,878.3883,792.967,786.5201,882.4176,894.1025
2020-10-22 13:06:42.990 下午 UTC-8,eeg,867.5092,794.1758,786.9231,870.7326,946.0806
2020-10-22 13:06:42.990 下午 UTC-8,eeg,862.2711,794.9817,787.326,863.4799,960.989
2020-10-22 13:06:42.990 下午 UTC-8,eeg,856.6301,786.5201,792.1612,867.5092,799.011
2020-10-22 13:06:42.990 下午 UTC-8,eeg,862.2711,783.6996,788.5348,871.9414,755.4945
2020-10-22 13:06:42.990 下午 UTC-8,eeg,868.315,788.1319,779.2674,873.5531,767.9854
2020-10-22 13:06:43.011 下午 UTC-8,gyro,3.596344,-9.480591,3.416901,,
2020-10-22 13:06:43.011 下午 UTC-8,gyro,3.626251,-6.916046,4.710388,,
2020-10-22 13:06:43.011 下午 UTC-8,gyro,2.788849,-4.157104,4.949646,,
2020-10-22 13:06:43.011 下午 UTC-8,acc,0.1273193,0.01513672,1.010681,,
2020-10-22 13:06:43.011 下午 UTC-8,acc,0.1152344,0.009277344,1.016541,,
2020-10-22 13:06:43.012 下午 UTC-8,acc,0.09564209,0.00982666,1.015137,,
2020-10-22 13:06:43.033 下午 UTC-8,eeg,867.9121,790.1465,776.8498,875.1649,810.293
2020-10-22 13:06:43.033 下午 UTC-8,eeg,862.2711,786.9231,778.0586,869.1208,807.0696
2020-10-22 13:06:43.033 下午 UTC-8,eeg,864.2857,785.3113,779.6703,863.0769,752.674
